,sin2_2theta,delta_m2,-2dllh_estimate_crit_0.5,-2dllh_estimate_crit_0.6,-2dllh_estimate_crit_0.7,-2dllh_estimate_crit_0.8,-2dllh_estimate_crit_0.85,-2dllh_estimate_crit_0.9,-2dllh_estimate_crit_0.95,-2dllh_estimate_crit_0.97,-2dllh_estimate_crit_0.99
731,0.20433597178569418,13.73823795883263,-0.046709075570106506,0.13334014266729333,0.344420114159584,0.42642584443092346,0.4883806303143499,0.632988888025284,0.896111488342285,1.0539842569828035,1.1425889778137253
732,0.20433597178569418,17.43328822199988,-0.18981873989105225,-0.01890714131295683,0.10322523564100262,0.2811136066913605,0.30358465462923045,0.3331045985221863,0.45264369100332247,0.5878919869661333,0.8944316083192843
733,0.20433597178569418,22.122162910704493,-0.12732788920402527,0.097478349506855,0.3269737780094146,0.5141542911529541,0.5913745582103729,0.6508895039558412,0.9344477504491796,1.3228259336948407,3.003402531147003
734,0.20433597178569418,28.072162039411772,-0.20441138744354248,-0.03627487123012544,0.09559038355946539,0.38389689326286325,0.45785000920295693,0.5192202985286714,0.6388752520084376,0.8409950733184814,1.0849922084808379
735,0.20433597178569418,35.62247890262442,-2.635421395301819,-2.5618873119354246,-2.5001189708709717,-2.381224536895752,-2.241566002368927,-2.142904663085937,-0.5131964579224589,-0.17334053099155425,-0.12747055230662155
736,0.20433597178569418,45.20353656360243,-2.1821861267089844,-1.8322277307510377,-1.6664016962051391,-1.586280632019043,-1.5441399633884432,-1.4794227719306945,-1.0587626397609726,-0.42712557017803177,-0.28415756285190247
737,0.20433597178569418,57.36152510448679,-1.3484705686569214,-1.080662226676941,-0.8182001352310181,-0.5238450169563293,-0.3483483940362931,-0.2761120438575743,-0.078859816491604,0.19351898908615114,1.053350652456284
738,0.20433597178569418,72.7895384398315,0.022548828274011612,0.26590529680252073,1.015827441215515,1.153621506690979,1.26386142373085,1.3155884742736823,1.4766381442546843,1.5446110343933106,1.6660384726524358
739,0.20433597178569418,92.36708571873861,-0.4764494001865387,-0.33375138044357305,-0.19412006139755253,0.04305012151598932,0.11725083775818344,0.20241279751062427,0.2695660099387168,0.29683236867189416,0.4215863066911714
740,0.20433597178569418,117.21022975334806,0.25959011912345886,0.2749398112297058,0.2998467594385147,0.32508156895637513,0.3313155725598335,0.33614912033081057,0.35533758252859116,0.3631018090248108,0.38806632161140464
741,0.20433597178569418,148.73521072935117,0.04077447019517422,0.057873756438493726,0.06637376621365547,0.07926792949438097,0.08750197887420653,0.09002236872911454,0.09958903975784779,0.10139515563845636,0.110037052705884
742,0.20433597178569418,188.73918221350976,0.06700093671679497,0.07174437195062637,0.08140260577201844,0.08789282739162446,0.09137098006904125,0.09507438465952874,0.10422893352806567,0.10919215463101864,0.11380023367702963
743,0.20433597178569418,239.5026619987486,0.06751276180148125,0.12278249561786651,0.13928356319665908,0.16919922828674316,0.17811922878026962,0.18553572893142703,0.2038100183010101,0.22499248415231707,0.2572209355235131
744,0.20433597178569418,303.9195382313198,-0.4365125000476837,-0.25234850645065315,-0.022272944450378425,0.031874182075262096,0.05141701605170954,0.11094279661774638,0.15038909614086152,0.1561222004890442,0.17021655917167666
745,0.20433597178569418,385.6620421163472,0.01661220472306013,0.05015884116292,0.0658433049917221,0.08292736560106277,0.08698841333389282,0.09428077340126043,0.10905320383608341,0.10991570994257928,0.13830096140503886
746,0.20433597178569418,489.3900918477494,-0.08302581682801247,-0.03832033500075341,0.016235429048538204,0.08728578537702561,0.13686384707689278,0.1614369183778763,0.40899656265974005,0.5520668661594391,0.8200672799348836
747,0.20433597178569418,621.0169418915616,0.07203452661633492,0.1200194776058197,0.5719997227191924,0.6939189195632934,0.7467880278825758,0.8126927316188813,0.8549519777297974,0.874823021888733,1.0440139150619512
748,0.20433597178569418,788.0462815669912,0.7205813825130463,0.8083033323287964,0.9143294870853425,1.0982012271881103,1.189306205511093,1.2625678658485415,1.4286172986030576,1.5246724200248718,1.6194672536849977
749,0.20433597178569418,1000.0,0.41407084465026855,0.4684786021709442,0.5218619227409362,0.5849729418754578,0.6202923327684402,0.6559168636798862,0.7669433802366257,0.7860435688495636,0.9435614979267131
750,0.2807216203941176,1.0,0.26152655482292175,0.34540367126464844,0.6407239079475402,0.9456439018249513,1.228914433717727,1.594736361503602,2.4828601002693174,2.812145166397095,2.9998616218566907
751,0.2807216203941176,1.2689610031679222,0.25972117483615875,0.43876022100448603,0.7299522042274474,1.1626670598983766,1.437625527381897,1.7470529794693002,2.2790165305137626,2.547131431102753,2.9249233365058913
752,0.2807216203941176,1.6102620275609394,0.3300940841436386,0.43520047068595885,0.9660142600536341,1.841732907295227,2.6322618961334223,3.43743691444397,4.898943996429443,6.0483758068084725,7.416044697761549
